cluster_id,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,percentage_of_products_bought_promotion,age,years_as_customer,dependents_home
0,0.899,1.615,9024.969,6307.186,177.086,521.537,1113.183,839.594,817.9,273.161,666.659,292.477,0.282,52.461,7.88,0.53
1,0.675,3.406,11348.28,1466.594,1745.943,507.252,302.666,111.914,99.502,1280.197,177.778,330.784,0.132,57.456,10.323,1.906
2,0.969,3.129,24941.54,4827.156,785.764,787.673,1360.47,1417.125,1269.162,928.528,395.193,362.236,0.209,58.414,13.004,4.021
3,0.315,1.752,17897.345,988.703,637.501,314.722,219.032,795.845,682.478,831.625,177.816,405.427,0.163,58.255,12.796,1.415
4,1.937,2.28,10687.737,1026.546,261.131,229.908,607.906,573.268,462.446,437.378,125.254,281.619,0.482,35.143,7.834,2.43
5,1.031,4.328,23893.431,2787.221,380.423,619.033,721.282,910.959,852.769,1031.6,300.491,356.202,0.411,58.592,12.145,1.698
6,0.749,4.411,11226.544,656.562,474.091,183.841,278.64,755.035,369.732,459.138,204.932,303.854,0.651,57.39,10.025,1.11
